Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Seats,Price,Brand,Model
Kochi,2014,188.3799352372752,Petrol,Manual,First,18.5,82.9,5,1.556037135706985,Hyundai,I20
Bangalore,2014,215.34623284376255,Petrol,Automatic,First,14.62,149.92,5,2.180417459019838,Hyundai,Elantra
Mumbai,2016,228.0372776543344,Petrol,Automatic,First,14.28,138.03,5,2.3135250330323798,Toyota,Corolla
Ahmedabad,2008,240.8422720371156,Diesel,Manual,Second,14.9,112.2,5,1.4469189829363254,Hyundai,Elantra
Bangalore,2012,265.90223767392405,Petrol,Manual,First,11.25,163.7,7,2.3933394562625097,Toyota,Innova
Jaipur,2014,273.8612787525831,Diesel,Manual,First,24.4,71.0,5,1.3480731482996928,Hyundai,Xcent
Jaipur,2012,275.3179979587241,Diesel,Manual,Second,16.55,105.0,6,1.7047480922384253,Mahindra,Thar
Kochi,2015,116.82465493208187,Diesel,Automatic,First,17.11,174.33,5,3.064791809485486,Audi,A4
Delhi,2014,228.0350850198276,Diesel,Manual,First,22.9,74.0,5,1.4469189829363254,Maruti,Swift
Kolkata,2014,230.21728866442677,Diesel,Manual,First,17.8,75.0,5,1.1939224684724346,Maruti,Swift
Delhi,2013,256.2225595063791,Diesel,Manual,First,28.4,74.0,5,1.3480731482996928,Maruti,Swift
Chennai,2015,232.379000772445,Petrol,Manual,Third & Above,18.9,82.0,5,1.2809338454620642,Hyundai,Grand
Kolkata,2015,197.48417658131498,Petrol,Manual,First,15.04,103.2,5,1.3837912309017721,Volkswagen,Vento
Kochi,2017,128.6157066613561,Petrol,Manual,First,25.17,53.3,5,1.1939224684724346,Renault,Kwid
Kolkata,2010,178.88543819998318,Petrol,Manual,First,20.36,78.9,5,0.7275486072772777,Hyundai,I10
Hyderabad,2010,349.0157589565262,Diesel,Automatic,First,13.29,147.6,5,2.0476928433652555,Nissan,X-Trail
Hyderabad,2010,198.2422760159901,Petrol,Manual,First,18.2,67.1,5,0.8109302162163288,Maruti,Zen
Mumbai,2017,148.32396974191326,Diesel,Manual,First,13.68,147.8,8,2.803360380906535,Toyota,Innova
Bangalore,2010,268.32815729997475,Diesel,Manual,First,20.0,68.0,5,1.0116009116784799,Ford,Figo
Delhi,2015,240.8318915758459,Petrol,Automatic,First,11.74,186.0,5,3.2846635654062037,Mercedes-Benz,New
Pune,2011,254.95097567963924,Diesel,Manual,Second,15.8,170.0,5,2.302585092994046,Mercedes-Benz,New
Chennai,2016,421.90046219457975,Diesel,Manual,First,25.0,69.0,5,0.9162907318741551,Tata,Indica
Jaipur,2012,256.24987804875144,Diesel,Automatic,First,16.55,140.0,5,2.6026896854443837,Audi,A4
Mumbai,2007,250.99800796022265,Petrol,Automatic,Second,16.4,78.0,5,0.6151856390902335,Honda,City
Coimbatore,2019,123.97177098033245,Diesel,Automatic,First,0.0,194.0,5,3.5743099993708003,Mercedes-Benz,C-Class
Pune,2016,250.99800796022265,Diesel,Manual,First,24.52,88.5,7,2.0980179272527715,Maruti,Ertiga
Mumbai,2018,114.0175425099138,Diesel,Manual,First,22.1,88.7,5,2.3513752571634776,Hyundai,Creta
Mumbai,2008,270.1851217221259,Petrol,Automatic,First,8.5,500.0,5,2.6741486494265287,Porsche,Cayenne
Mumbai,2015,236.0699049010695,Diesel,Manual,First,15.1,140.0,7,2.2669579153508947,Mahindra,Xuv500
Kochi,2012,212.55117030964567,Petrol,Automatic,First,16.95,78.9,5,1.247032293786383,Hyundai,I10
Kochi,2015,236.78260071213003,Diesel,Manual,First,19.64,108.5,5,1.9344157696295783,Nissan,Terrano
Coimbatore,2016,193.13207915827965,Petrol,Automatic,Second,16.5,86.8,5,1.8656293177945105,Honda,Brio
Delhi,2014,236.64319132398464,Diesel,Automatic,Second,18.53,187.74,5,3.3843902633457743,Audi,A6
Chennai,2006,479.58315233127195,Petrol,Manual,Third & Above,12.4,132.0,8,1.5040773967762742,Toyota,Innova
Hyderabad,2012,322.49030993194197,Diesel,Manual,First,12.8,102.0,7,2.463853240590168,Toyota,Innova
Jaipur,2012,308.3828789021855,Diesel,Manual,First,22.9,74.0,5,1.3217558399823195,Maruti,Swift
Pune,2017,264.5751311064591,Petrol,Manual,First,17.57,88.7,5,1.5040773967762742,Tata,Zest
Kochi,2016,234.4013651837378,Petrol,Manual,First,18.0,86.7,5,1.572773928062509,Honda,Amaze
Hyderabad,2012,265.2112365643658,Diesel,Manual,First,20.0,68.0,5,1.0296194171811581,Ford,Figo
Jaipur,2013,315.6548748237543,Diesel,Manual,First,23.2,73.94,5,1.1346227261911428,Maruti,Ritz
Delhi,2009,228.0350850198276,Petrol,Manual,First,17.8,117.3,5,1.1786549963416462,Honda,City
Delhi,2011,273.8612787525831,Diesel,Automatic,Second,16.73,218.0,5,2.631888840136646,Bmw,5 Series
Pune,2009,309.80639115421747,Petrol,Manual,First,20.36,78.9,5,0.8109302162163288,Hyundai,I10
Bangalore,2016,126.49110640673517,Petrol,Manual,First,18.9,82.0,5,1.749199854809259,Hyundai,Grand
Mumbai,2016,137.6553667678816,Petrol,Manual,First,17.8,86.7,5,1.6094379124341003,Honda,Amaze
Delhi,2014,327.10854467592253,Diesel,Manual,First,13.0,168.5,7,2.803360380906535,Toyota,Fortuner
Coimbatore,2018,219.92498721154902,Diesel,Automatic,First,17.68,174.33,5,3.6783239401744194,Audi,A6
Delhi,2013,238.74672772626644,Diesel,Manual,First,22.7,89.84,5,1.7047480922384253,Ford,Ecosport
Delhi,2014,240.8318915758459,Diesel,Manual,First,15.1,140.0,7,2.0918640616783932,Mahindra,Xuv500
Kolkata,2015,173.20508075688772,Diesel,Manual,First,25.8,98.6,5,1.252762968495368,Honda,Amaze
Kolkata,2013,184.9648615278048,Diesel,Manual,First,22.07,73.9,5,1.0260415958332743,Volkswagen,Polo
Ahmedabad,2010,264.5789107241921,Diesel,Manual,First,16.2,110.0,5,1.2383742310432684,Hyundai,Verna
Bangalore,2016,248.99799195977465,Petrol,Manual,First,18.9,67.1,5,1.4929040961781488,Maruti,WagonR
Delhi,2010,249.0,Petrol,Manual,First,15.26,103.5,5,0.9745596399981308,Volkswagen,Polo
Pune,2011,280.9946618710042,Diesel,Manual,Second,23.0,90.0,5,1.33500106673234,Hyundai,I20
Mumbai,2014,173.72391890583174,Petrol,Manual,First,18.5,82.85,5,1.536867219599265,Hyundai,I20
Pune,2017,181.24844826921967,Petrol,Manual,First,19.83,67.0,7,1.3737155789130306,Datsun,Go
Kolkata,2010,173.20508075688772,Diesel,Automatic,First,14.94,241.4,5,2.2823823856765264,Audi,A4
Pune,2009,256.9046515733026,Petrol,Manual,Second,17.0,80.0,5,0.9932517730102834,Hyundai,I20
Coimbatore,2010,306.3494736408078,Petrol,Manual,First,14.0,35.0,5,0.8796267475025636,Maruti,Omni
Ahmedabad,2014,230.21728866442677,Petrol,Manual,First,17.71,78.9,5,1.3609765531356006,Toyota,Etios
Hyderabad,2011,279.28480087537883,Diesel,Automatic,Second,14.74,270.9,5,3.1780538303479458,Jaguar,Xf
Delhi,2012,254.95097567963924,Diesel,Manual,Second,16.0,140.0,7,1.749199854809259,Mahindra,Xuv500
Kolkata,2014,200.0,Diesel,Automatic,First,22.32,126.32,5,1.6582280766035324,Hyundai,Verna
Mumbai,2017,173.20508075688772,Diesel,Automatic,First,11.36,171.5,7,2.9575110607337933,Toyota,Innova
Coimbatore,2017,195.0717816599828,Petrol,Manual,First,15.1,73.0,5,1.3635373739972745,Maruti,Eeco
Bangalore,2014,159.68719422671313,Petrol,Manual,First,25.4,37.5,4,0.7654678421395714,Tata,Nano
Mumbai,2015,236.82694103500978,Diesel,Automatic,First,22.69,190.0,5,3.0325462466767075,Bmw,3 Series
Delhi,2010,266.62332981192776,Petrol,Manual,First,13.5,130.0,5,1.208960345836975,Honda,Civic
Ahmedabad,2014,234.5207879911715,Diesel,Manual,First,12.99,100.6,7,2.4078456036515385,Toyota,Innova
Bangalore,2014,180.83141320025123,Diesel,Automatic,First,23.3,150.0,5,2.995732273553991,Volvo,V40
Coimbatore,2016,199.70478211600243,Petrol,Automatic,First,19.15,75.94,5,1.8794650496471605,Nissan,Micra
Mumbai,2009,357.77087639996637,Petrol,Automatic,First,10.8,215.0,5,1.9459101490553132,Bmw,5 Series
Mumbai,2016,234.5207879911715,Diesel,Manual,First,24.3,88.5,5,2.0149030205422647,Maruti,Vitara
Pune,2014,231.8469322635087,Diesel,Automatic,Second,15.0,107.3,5,2.8183982582710754,Mercedes-Benz,B Class
Kolkata,2018,101.24228365658294,Diesel,Manual,First,22.0,126.2,5,2.3933394562625097,Hyundai,Verna
Pune,2011,209.4612135933524,Petrol,Manual,First,18.9,67.1,5,0.8960880245566357,Maruti,WagonR
Coimbatore,2017,180.78716768620498,Petrol,Automatic,First,21.9,37.48,4,1.172482137234565,Tata,Nano
Kolkata,2014,204.93901531919198,Diesel,Manual,First,12.05,120.0,8,2.0476928433652555,Mahindra,Scorpio
Kolkata,2009,168.3805214387935,Petrol,Automatic,First,11.7,178.0,5,2.2353763433005955,Mercedes-Benz,New
Pune,2013,299.833287011299,CNG,Manual,First,26.6,58.16,5,1.1786549963416462,Maruti,WagonR
Bangalore,2007,218.40329667841556,Petrol,Manual,Second,10.8,152.0,5,1.6582280766035324,Honda,Cr-V
Pune,2015,234.5207879911715,Diesel,Automatic,First,21.21,103.2,5,1.9810014688665833,Volkswagen,Vento
Kochi,2017,210.440015206234,Petrol,Manual,First,20.73,91.1,5,2.010894999144726,Maruti,Ciaz
Jaipur,2016,232.379000772445,Diesel,Automatic,First,16.0,140.0,7,2.583997552432231,Mahindra,Xuv500
Coimbatore,2016,173.87351724745204,Petrol,Manual,First,21.1,85.8,5,1.7595805708638197,Maruti,Ritz
Hyderabad,2014,297.4894956128703,Petrol,Manual,First,24.07,67.1,5,0.9555114450274363,Maruti,Alto
Kolkata,2017,115.63736420379011,Petrol,Automatic,First,19.0,362.07,2,3.9889840465642745,Mercedes-Benz,Slc
Kochi,2019,112.44998888394787,Petrol,Automatic,First,17.0,121.3,5,2.4423470353692043,Hyundai,Verna
Chennai,2010,307.22141852416473,Petrol,Manual,Second,19.7,46.3,5,0.47000362924573563,Maruti,Alto
Coimbatore,2015,178.38441635972578,Diesel,Automatic,First,20.58,143.0,5,2.8460714989995846,Bmw,1 Series
Mumbai,2015,109.54451150103323,Petrol,Automatic,First,19.0,88.7,5,1.791759469228055,Honda,Jazz
Delhi,2012,297.6205638056618,Petrol,Manual,First,13.5,130.0,5,1.3737155789130306,Honda,Civic
Kochi,2014,212.04952251773642,Diesel,Automatic,First,19.27,170.0,5,2.8875901149342877,Mercedes-Benz,New
Kolkata,2014,212.235718011837,Diesel,Manual,First,25.8,98.6,5,1.308332819650179,Honda,Amaze
Kochi,2016,184.9432345342754,Petrol,Manual,First,22.0,81.8,5,1.691939133945844,Maruti,Swift
Coimbatore,2012,302.0513201427863,Diesel,Manual,First,11.5,171.0,7,2.6019486702196644,Toyota,Fortuner
Pune,2014,196.9771560359221,Petrol,Manual,First,18.6,76.8,5,1.0473189942805592,Chevrolet,Beat
Chennai,2013,288.09720581775866,Diesel,Manual,First,21.14,103.52,5,1.55814461804655,Skoda,Rapid
Kochi,2018,203.18218425836454,Petrol,Manual,First,20.73,91.1,5,2.2925347571405443,Maruti,Ciaz
Mumbai,2013,151.65750888103102,Petrol,Automatic,First,11.05,444.0,4,3.6109179126442243,Audi,Rs5
Mumbai,2014,219.08902300206645,Diesel,Automatic,First,21.76,190.0,5,3.2771447329921766,Bmw,3 Series
Coimbatore,2015,219.57686581240748,Diesel,Automatic,First,17.11,174.33,5,3.1493113614822916,Audi,A4
Chennai,2016,187.08286933869707,Diesel,Manual,First,22.9,74.0,5,1.8325814637483102,Maruti,Swift
Kolkata,2010,187.82172398314313,Petrol,Automatic,First,7.81,362.9,5,3.4011973816621555,Mercedes-Benz,S Class
Coimbatore,2016,233.70922104187503,Diesel,Automatic,First,21.66,103.52,5,2.288486168614544,Skoda,Rapid
Pune,2012,370.1310578700469,Diesel,Automatic,First,17.2,138.1,5,2.1400661634962708,Skoda,Superb
Kochi,2019,119.67455869983394,Petrol,Manual,First,21.1,55.2,5,1.4422019930581866,Hyundai,Eon
Jaipur,2012,256.19133474807455,Diesel,Manual,First,22.07,73.9,5,1.252762968495368,Volkswagen,Polo
Kolkata,2016,77.45966692414834,Petrol,Manual,First,20.63,67.06,5,0.9162907318741551,Datsun,Go
Kolkata,2013,182.42806801586207,Petrol,Manual,First,19.4,86.8,5,0.8712933659434193,Honda,Brio
Delhi,2013,170.29386365926402,Petrol,Automatic,First,14.8,120.7,5,2.4203681286504293,Mercedes-Benz,B Class
Kochi,2015,206.95651717208617,Diesel,Manual,First,26.0,98.6,5,1.9615022438151495,Honda,City
Ahmedabad,2016,300.0,Diesel,Manual,First,12.99,100.6,7,2.388762789235098,Toyota,Innova
Ahmedabad,2017,154.93547043850222,Petrol,Manual,First,20.4,81.8,5,1.824549292051046,Maruti,Swift
Mumbai,2012,181.08561511064318,Diesel,Manual,First,15.1,140.0,7,2.066862759472976,Mahindra,Xuv500
Kochi,2014,384.5750901969601,Diesel,Manual,First,22.7,89.84,5,1.4861396960896067,Ford,Ecosport
Mumbai,2012,362.9944903163132,Diesel,Manual,First,13.0,168.5,7,2.6026896854443837,Toyota,Fortuner
Chennai,2013,254.95097567963924,Diesel,Automatic,First,21.5,108.5,5,1.8325814637483102,Volkswagen,Vento
Jaipur,2010,257.1439285691964,Diesel,Manual,Second,20.0,68.0,5,0.7419373447293773,Ford,Figo
Mumbai,2015,202.48456731316588,Diesel,Automatic,First,15.3,258.0,5,3.8066624897703196,Bmw,X5
Coimbatore,2017,153.46009253222806,Diesel,Automatic,First,19.27,167.62,5,3.51631018876266,Mercedes-Benz,New
Bangalore,2012,212.13203435596427,Petrol,Manual,Second,19.4,86.8,5,1.2947271675944,Honda,Brio
Delhi,2013,244.94897427831782,Petrol,Manual,First,20.36,78.9,5,1.0116009116784799,Hyundai,I10
Bangalore,2016,210.74629296858345,Diesel,Automatic,First,17.9,170.0,5,3.7495040759303713,Mercedes-Benz,Glc
Kolkata,2019,31.622776601683793,Petrol,Manual,First,18.9,81.86,5,1.8718021769015913,Hyundai,Grand
Mumbai,2012,250.0,Diesel,Automatic,Second,17.68,174.33,5,2.9444389791664403,Audi,A6
Mumbai,2013,144.9137674618944,Petrol,Automatic,Second,14.4,103.6,5,1.4929040961781488,Volkswagen,Vento
Jaipur,2017,92.33092656309694,Diesel,Automatic,Second,16.6,112.0,5,3.1354942159291497,Mini,Countryman
Bangalore,2014,170.29386365926402,Diesel,Manual,First,22.54,88.73,5,2.122261538862764,Hyundai,I20
Mumbai,2014,200.0,Diesel,Automatic,First,17.68,174.33,5,3.133317936506554,Audi,A6
Jaipur,2012,296.6479394838265,Diesel,Manual,First,25.44,57.6,5,0.4054651081081644,Chevrolet,Beat
Kochi,2012,231.38063877515768,Petrol,Automatic,First,13.7,157.75,5,1.9300710850255671,Skoda,Superb
Chennai,2006,464.75800154489,Diesel,Manual,Second,17.8,68.0,5,0.371563556432483,Ford,Fiesta
Hyderabad,2014,225.8317958127243,Diesel,Automatic,First,22.48,190.0,5,3.5115454388310208,Bmw,5 Series
Jaipur,2007,344.2382895611701,Petrol,Manual,First,12.9,102.5,5,0.22314355131420976,Chevrolet,Optra
Hyderabad,2012,250.99800796022265,Diesel,Manual,First,22.07,73.9,5,1.4350845252893227,Volkswagen,Polo
Mumbai,2015,158.11388300841898,Diesel,Manual,First,19.98,108.5,8,1.9095425048844386,Renault,Lodgy
Bangalore,2014,193.34425256521075,Diesel,Automatic,First,13.0,201.1,5,3.4657359027997265,Mercedes-Benz,E-Class
Kochi,2017,157.3944090493687,Petrol,Manual,First,21.4,83.1,5,2.0149030205422647,Maruti,Baleno
Delhi,2012,248.99799195977465,Diesel,Manual,First,22.32,126.32,5,1.5260563034950492,Hyundai,Verna
Kochi,2017,228.77936969928035,Petrol,Manual,First,19.81,68.05,5,1.3962446919730587,Hyundai,I10
Kochi,2016,238.19949622112975,Diesel,Manual,First,15.4,120.0,7,2.333114298028869,Mahindra,Scorpio
Coimbatore,2018,189.97631431312695,Diesel,Automatic,First,12.7,187.7,5,4.0210567664522685,Land Rover,Rover
Chennai,2010,346.41016151377545,Diesel,Manual,First,20.0,68.0,5,0.9555114450274363,Ford,Figo
Mumbai,2016,181.6590212458495,Diesel,Manual,First,25.47,88.5,7,2.1400661634962708,Maruti,Ertiga
Kolkata,2014,228.0350850198276,Diesel,Manual,First,25.8,98.6,5,1.252762968495368,Honda,Amaze
Jaipur,2015,208.73667622150163,Petrol,Manual,First,20.36,78.9,5,1.2669476034873244,Hyundai,I10
Kolkata,2013,223.60679774997897,Diesel,Manual,First,25.8,98.6,5,1.1786549963416462,Honda,Amaze
Hyderabad,2008,336.1547262794322,Diesel,Manual,First,17.5,106.0,5,1.5040773967762742,Skoda,Laura
Delhi,2014,300.0,Diesel,Manual,First,19.87,83.8,5,1.6770965609079151,Renault,Duster
Chennai,2017,170.29386365926402,Diesel,Manual,Second,17.45,100.0,7,1.8718021769015913,Mahindra,Nuvosport
Mumbai,2016,141.4213562373095,Diesel,Manual,First,24.3,88.5,5,2.1972245773362196,Maruti,Vitara
Kochi,2016,247.0060727998403,Petrol,Manual,First,18.6,81.83,5,1.791759469228055,Hyundai,I20
Jaipur,2009,295.7346783858802,Petrol,Manual,First,14.7,85.0,5,1.0116009116784799,Skoda,Fabia
Pune,2010,265.5183609470351,Petrol,Manual,First,15.64,64.1,5,0.4054651081081644,Tata,Indigo
Delhi,2015,253.18570259791528,Diesel,Automatic,First,15.73,174.33,5,2.990719731730447,Audi,Q3
Mumbai,2014,275.68097504180446,Petrol,Automatic,First,14.7,177.5,5,2.302585092994046,Skoda,Octavia
Delhi,2014,322.49030993194197,Diesel,Manual,First,23.59,67.06,5,1.0986122886681098,Toyota,Etios
Kochi,2014,192.98963702748395,Petrol,Automatic,First,14.8,120.7,5,2.481567748522486,Mercedes-Benz,B Class
Kolkata,2013,212.13203435596427,Diesel,Manual,First,27.4,98.6,5,1.1786549963416462,Honda,Amaze
Jaipur,2012,343.27394308336306,Diesel,Manual,Second,22.32,126.32,5,1.55814461804655,Hyundai,Verna
Mumbai,2014,173.20508075688772,Diesel,Manual,First,20.46,83.8,5,1.7833912195575383,Renault,Duster
Delhi,2015,164.4901212839239,Petrol,Manual,Second,15.29,121.3,5,2.0980179272527715,Hyundai,Creta
Mumbai,2016,92.19544457292888,Petrol,Automatic,First,20.51,67.0,5,1.4398351280479205,Maruti,WagonR
Kolkata,2010,174.64249196572982,Petrol,Automatic,First,11.74,186.0,5,2.3513752571634776,Mercedes-Benz,New
Delhi,2012,236.64319132398464,Diesel,Automatic,First,11.8,246.7,5,3.8066624897703196,Audi,A8
Pune,2012,209.76176963403032,Petrol,Manual,Second,19.81,68.05,5,1.0647107369924282,Hyundai,I10
Mumbai,2017,102.46950765959599,Petrol,Automatic,First,14.3,103.52,5,2.186051276738094,Skoda,Rapid
Hyderabad,2017,161.24515496597098,Petrol,Automatic,First,14.67,177.46,5,3.258096538021482,Skoda,Superb
Coimbatore,2018,158.6379525838631,Petrol,Manual,First,17.19,81.86,5,2.1065702090680887,Hyundai,I20
Kolkata,2014,252.98221281347034,Diesel,Manual,Second,25.8,98.6,5,1.252762968495368,Honda,Amaze
Chennai,2004,246.9817807045694,Petrol,Manual,Second,18.9,67.1,5,0.22314355131420976,Maruti,WagonR
Hyderabad,2013,327.10854467592253,Diesel,Manual,First,21.03,65.0,5,1.308332819650179,Mahindra,Verito
Coimbatore,2018,170.76592165886026,Diesel,Automatic,First,19.27,167.62,5,3.6740195912069122,Mercedes-Benz,New
Kolkata,2013,178.88543819998318,Petrol,Manual,First,22.5,67.04,5,0.9745596399981308,Maruti,WagonR
Coimbatore,2015,214.8790357387151,Diesel,Manual,Second,19.01,108.5,5,2.188295946591918,Nissan,Terrano
Kochi,2017,162.25597061433518,Petrol,Automatic,First,16.82,189.08,4,3.5743099993708003,Mini,Cooper
Jaipur,2007,447.21359549995793,Diesel,Manual,Second,17.2,53.5,5,-0.16251892949777494,Tata,Indica
Kochi,2016,246.60291969074495,Petrol,Manual,Second,18.6,76.8,5,1.199964782928397,Chevrolet,Beat
Mumbai,2012,212.13203435596427,Diesel,Manual,First,22.07,73.9,5,1.2809338454620642,Volkswagen,Polo
Hyderabad,2016,252.98221281347034,Diesel,Manual,First,22.9,74.0,5,1.916922612182061,Maruti,Swift
Kolkata,2012,203.18464508914053,Diesel,Manual,First,20.0,68.05,5,0.9162907318741551,Ford,Figo
Kochi,2019,119.01680553602503,Diesel,Automatic,First,11.36,171.5,7,2.97756830292632,Toyota,Innova
Mumbai,2011,258.8435821108957,Diesel,Automatic,Second,11.72,194.3,7,1.9459101490553132,Hyundai,Santa
Kolkata,2011,180.4771453674952,Petrol,Manual,First,17.4,117.3,5,1.3532545070416904,Honda,City
Kochi,2018,122.31107881136525,Petrol,Manual,First,18.6,81.83,5,1.8357763546448294,Hyundai,I20
Kochi,2015,236.60092983756425,Diesel,Automatic,First,19.27,167.62,5,2.8970163006148333,Mercedes-Benz,New
Mumbai,2013,272.02941017470886,Diesel,Manual,First,25.44,57.6,5,0.9745596399981308,Chevrolet,Beat
Kochi,2015,238.42608917649932,Diesel,Manual,First,22.54,88.73,5,1.9740810260220096,Hyundai,I20
Coimbatore,2015,348.38771505321483,Diesel,Manual,First,12.99,100.6,7,2.6602595372658615,Toyota,Innova
Chennai,2013,228.0350850198276,Diesel,Manual,First,20.77,88.76,7,1.9315214116032138,Maruti,Ertiga
Mumbai,2014,343.51128074635335,Diesel,Manual,First,12.8,102.0,7,2.3749057545736716,Toyota,Innova
Kochi,2016,184.1602562986922,Petrol,Manual,First,17.8,117.3,5,2.0906287310704004,Honda,City
Ahmedabad,2014,286.35991339571257,Diesel,Automatic,First,17.05,184.0,5,2.917770732084279,Bmw,X1
Mumbai,2017,181.6590212458495,Diesel,Manual,First,24.0,70.0,5,1.55814461804655,Hyundai,Grand
Chennai,2016,184.39088914585776,Diesel,Manual,First,28.09,88.5,5,2.134166441369082,Maruti,Ciaz
Kolkata,2012,234.5207879911715,Diesel,Manual,First,20.5,103.6,5,1.252762968495368,Skoda,Rapid
Kochi,2006,400.6719356281395,Diesel,Manual,First,13.1,82.0,5,0.5877866649021191,Hyundai,Accent
Jaipur,2014,244.94897427831782,Diesel,Manual,Second,19.91,103.6,5,1.308332819650179,Volkswagen,Polo
Coimbatore,2017,222.65444078212317,Petrol,Manual,First,18.7,88.7,5,1.969905654611529,Honda,Jazz
Jaipur,2010,288.09720581775866,Petrol,Manual,First,19.81,68.05,5,0.5596157879354227,Hyundai,I10
Kochi,2018,226.59655778497608,Diesel,Automatic,First,16.38,183.0,5,3.09058780456667,Hyundai,Tucson
